title,abstract,date,section,url
How Much Has ‘Climate Change’ Been Scrubbed From Federal Websites? A Lot.,"A new study found that the Trump administration has systematically removed, altered or played down references to climate change on federal websites.",2018-01-10,Climate,https://www.nytimes.com/2018/01/10/climate/climate-change-trump.html
More Female Sea Turtles Born as Temperatures Rise,"Male hatchlings are disappearing on Australia’s Great Barrier Reef, a new study shows, because the growing warmth of nests produces more females.",2018-01-10,Science,https://www.nytimes.com/2018/01/10/science/female-sea-turtles-global-warming.html
"Florida Is Exempted From Coastal Drilling. Other States Ask, ‘Why Not Us?’","A surprise decision to exclude Florida, but not other states, from a plan to open up most of the nation’s coastline to offshore drilling raised questions about the plan’s legality.",2018-01-10,Climate,https://www.nytimes.com/2018/01/10/climate/coastal-drilling-florida-exempt-zinke.html
"When You’ve Seen Fire and You’ve Seen Rain, Expect Mudslides",This week: the causes behind California’s mudslides; why coal and nuclear power are fighting for survival; and the effort to delete “climate change.”,2018-01-11,Climate,https://www.nytimes.com/2018/01/11/climate/nyt-climate-newsletter.html
"Climate Change Is Altering Lakes and Streams, Study Suggests","Like the ocean, fresh water absorbs carbon dioxide from the atmosphere. But the effects are likely to vary widely from place to place.",2018-01-11,Science,https://www.nytimes.com/2018/01/11/science/climate-change-lakes-streams.html
That Recent Brutally Cold Weather? It’s Getting Rarer,"With climate change warming the Arctic air, researchers say, cold snaps are getting warmer. The recent spell of cold was an outlier.",2018-01-11,Climate,https://www.nytimes.com/2018/01/11/climate/cold-wave-northeast.html
War’s Other Victims: Animals,"Over decades, armed conflict has reduced animal populations in Africa more than any other factor, according to new research.",2018-01-12,Science,https://www.nytimes.com/2018/01/12/science/africa-war-animals-conservation.html
Uranium Miners Pushed Hard for a Comeback. They Got Their Wish.,"Hundreds of mining claims fall neatly outside the new boundaries of Bears Ears National Monument, and a Navajo town scarred by uranium is bracing for new woes.",2018-01-13,Climate,https://www.nytimes.com/2018/01/13/climate/trump-uranium-bears-ears.html
"Citing ‘Inexcusable’ Treatment, Advisers Quit National Parks Panel",The majority of members of the National Parks System Advisory Board have jointly resigned in protest of Trump administration policies.,2018-01-17,Climate,https://www.nytimes.com/2018/01/16/climate/trump-national-parks.html
"A Wet and Warm Spring, Then 200,000 Dead Saigas",Scientists identified bacteria that caused a mass die-off of the endangered antelopes in Kazakhstan in 2015. But the mechanism that made the bacteria so deadly is not understood.,2018-01-17,Science,https://www.nytimes.com/2018/01/17/science/saiga-deaths-bacteria.html
"In the Arctic, More Rain May Mean Fewer Musk Oxen","Winter rain makes it more difficult for the animals to feed, particularly pregnant females, researchers find.",2018-01-18,Science,https://www.nytimes.com/2018/01/18/science/musk-oxen-climate-change.html
"Warming, Water Crisis, Then Unrest: How Iran Fits an Alarming Pattern","A water crisis — whether caused by nature, human mismanagement, or both — can be an early warning signal of conflict ahead. Iran is the latest example.",2018-01-18,Climate,https://www.nytimes.com/2018/01/18/climate/water-iran.html
NASA Ranks 2017 as the Second-Warmest Year on Record,"Also in this week’s newsletter: a housing battle could be a climate solution, and a reader asks why taxpayers should bail out coastal residents.",2018-01-18,Climate,https://www.nytimes.com/2018/01/18/climate/nyt-climate-newsletter.html
"Drilling Off Florida Is Still on the Table, Interior Official Says",A surprise statement on Friday undercut last week’s announcement that Florida had been granted an exemption from President Trump’s offshore-drilling plan.,2018-01-19,Climate,https://www.nytimes.com/2018/01/19/climate/offshore-drilling-florida.html
"For Tsunami Forecasters, Speed Is Everything","In many major earthquakes, most destruction is caused by water. To warn the public, forecasters have to shoot first and ask questions later.",2018-01-23,Climate,https://www.nytimes.com/2018/01/23/climate/alaska-earthquake-tsunami-forecast.html
"Bigger, Faster Avalanches, Triggered by Climate Change",A deadly 2016 glacier collapse in Tibet surpassed scientists’ expectations — until it happened again. They worry it’s only the beginning.,2018-01-24,Climate,https://www.nytimes.com/2018/01/23/climate/glacier-collapse-avalanche.html
"The Meat Question, by the Numbers",How much do gassy cows contribute to global warming? Also: The Trump administration misses a deadline for a climate report.,2018-01-25,Climate,https://www.nytimes.com/2018/01/25/climate/cows-global-warming.html
Billions of Plastic Pieces Litter Coral in Asia and Australia,"Big and small pieces of plastic make coral more prone to disease, the researchers found, but it is possible to control the impact of coastal pollution on reefs.",2018-01-25,Science,https://www.nytimes.com/2018/01/25/science/plastic-coral-reefs.html
A Science Denier at the Natural History Museum? Scientists Rebel,"More than 200 scientists and other academics are asking the American Museum of Natural History to remove Rebekah Mercer, an influential donor to conservative causes, from its board.",2018-01-26,Climate,https://www.nytimes.com/2018/01/25/climate/rebekah-mercer-natural-history-museum.html
Trump Says Climate Is Both ‘Cooling’ and ‘Heating.’ He’s Only Half Right.,President Trump's comments about climate change in an interview with Piers Morgan were rich in misinformation.,2018-01-29,Climate,https://www.nytimes.com/2018/01/29/climate/trump-climate-change.html
Americans Are Staying Home More. That’s Saving Energy. ,A new study suggests that tech-fueled lifestyle changes that encourage Americans to travel less are saving energy. But the full picture may be murkier.,2018-01-29,Climate,https://www.nytimes.com/2018/01/29/climate/americans-staying-home-energy.html
New Jersey Embraces an Idea It Once Rejected: Make Utilities Pay to Emit Carbon,"Democratic governors nationwide are taking steps to tax or price emissions within their own borders, even as Trump dismantles federal climate policy.",2018-01-29,Climate,https://www.nytimes.com/2018/01/29/climate/new-jersey-cap-and-trade.html
"Scott Pruitt, the E.P.A. Chief, Assailed Trump in a 2016 Interview","Speaking on a radio show in 2016, Mr. Pruitt said that Donald Trump, if elected, would act in a way that is “truly unconstitutional.”",2018-01-30,Climate,https://www.nytimes.com/2018/01/30/climate/pruitt-trump-epa.html
"The State of the Climate, One Year Into the Trump Era",What you didn’t hear in the president’s State of the Union address. Also: The climate team taste-tests a fake burger.,2018-01-31,Climate,https://www.nytimes.com/2018/01/31/climate/climate-trump.html
E.P.A. Blocks Obama-Era Clean Water Rule,"President Trump has called the Waters of the United States rule, set to enter force in the coming weeks, “one of the worst examples of federal regulation.”",2018-01-31,Climate,https://www.nytimes.com/2018/01/31/climate/trump-water-wotus.html
Trump’s Environmental Rollbacks Were Fast. It Could Get Messy in Court.,"Legal experts say many were made without fully considering the laws and procedures governing changes, making them vulnerable to legal challenges.",2018-02-01,Climate,https://www.nytimes.com/2018/01/31/climate/trump-zinke-environmental-rollback.html
The Next Big Volcano Could Briefly Cool Earth. NASA Wants to Be Ready.,"By studying the natural effects of a large volcanic eruption, scientists could learn about how we might deliberately cool the planet in the future.",2018-02-01,Climate,https://www.nytimes.com/2018/02/01/climate/volcano-geoengineering.html
What Cameras on Polar Bears Show Us: It’s Tough Out There,"A new study that tracked polar bears on sea ice off Alaska found that they’re fat-burning machines. That means when food is hard to find, they lose weight fast.",2018-02-01,Climate,https://www.nytimes.com/2018/02/01/climate/polar-bear-cameras.html
Exxon Studies Climate Policies and Sees ‘Little Risk’ to Bottom Line,"The oil giant issued a climate report, demanded by shareholders, examining the threats to its business of a move away from fossil fuels.",2018-02-03,Climate,https://www.nytimes.com/2018/02/02/climate/exxon-global-warming.html
Trump to Withdraw Nomination of Climate Skeptic as Top Environmental Adviser,The White House is dropping Kathleen Hartnett White from consideration to lead the Council on Environmental Quality.,2018-02-04,Climate,https://www.nytimes.com/2018/02/04/climate/trump-climate-nominee-white-withdraw.html
No Children Because of Climate Change? Some People Are Considering It,"With the effects of climate change no longer theoretical, projections more dire and action lagging, some potential parents are hesitating.",2018-02-05,Climate,https://www.nytimes.com/2018/02/05/climate/climate-change-children.html
"New Form of Water, Both Liquid and Solid, Is ‘Really Strange’","Long theorized to be found in the mantles of Uranus and Neptune, the confirmation of the existence of superionic ice could lead to the development of new materials.",2018-02-05,Science,https://www.nytimes.com/2018/02/05/science/superionic-water-neptune-uranus.html
"In Australia, Arsonists May Have Wings",Aboriginal Australians have long believed that some predatory birds deliberately spread wildfires. A few ornithologists have set out to find proof.,2018-02-05,Science,https://www.nytimes.com/2018/02/05/science/australia-firehawks-aboriginal.html
"Idaho Stripped Climate Change From School Guidelines. Now, It’s a Battle. ",Idaho is the only state whose legislature has removed climate change from its education standards. Teachers and students testified for it to be reinstated.,2018-02-07,Climate,https://www.nytimes.com/2018/02/06/climate/idaho-schools-climate-change.html
This Olympic Skier Wants to Save the World’s Snow,"Also this week: Scientists win a $1 million prize for mapping peat. (Yes, peat.)",2018-02-07,Climate,https://www.nytimes.com/2018/02/07/climate/climate-change-skiing.html
"In Fight Over Science Education in Idaho, Lawmakers Move to Minimize Climate","On Wednesday, lawmakers in Idaho voted to gut their state’s science standards of all but a few mentions of climate change.",2018-02-07,Climate,https://www.nytimes.com/2018/02/07/climate/idaho-climate-change.html
America’s Ski Trails Are Vanishing. This Olympian Has Taken Up the Cause.,Winter athletes like the cross-country skier Jessie Diggins are demanding action on climate change.,2018-02-08,Climate,https://www.nytimes.com/2018/02/08/climate/snow-olympics.html
How to Read Between the Lines When Scott Pruitt Talks About Climate Science,The E.P.A. chief this week suggested that global warming might not be a threat. An examination of Scott Pruitt’s evolving statements on climate change.,2018-02-08,Climate,https://www.nytimes.com/2018/02/08/climate/pruitt-climate-change.html
Trump’s Infrastructure Plan May Ignore Climate Change. It Could Be Costly.,"President Trump wants to spend $1.5 trillion on rebuilding roads and bridges, but experts say failing to account for climate change will add to costs.",2018-02-10,Climate,https://www.nytimes.com/2018/02/10/climate/trump-infrastructure-climate-change.html
Here Are the Places That Struggle to Meet the Rules on Safe Drinking Water ,"Since 1982, between 3 and 10 percent of water systems in the United States have been in violation of federal health standards each year. Rural areas are especially struggling.",2018-02-12,Climate,https://www.nytimes.com/2018/02/12/climate/drinking-water-safety.html
Trump Administration Targets Obama-Era Effort to Limit Methane,"The rule, dating from President Barack Obama’s final days in office, survived a Senate vote in 2017 but now faces formal repeal.",2018-02-13,Climate,https://www.nytimes.com/2018/02/12/climate/trump-methane-rule-repeal.html
"A Hot, Dry Winter in California. Could It Be Drought Again?","A persistent ridge of air in the Pacific is keeping winter storms away, and the Sierra snowpack, source of much of the state's water, is suffering.",2018-02-13,Climate,https://www.nytimes.com/2018/02/13/climate/california-drought.html
Peru Moves to Protect ‘One of the Last Great Intact Forests’,"While the United States may be weakening protections for wilderness, the creation of Yaguas National Park protects millions of acres from development and deforestation.",2018-02-14,Science,https://www.nytimes.com/2018/02/14/science/peru-yaguas-national-park.html
"7 Billion People, One Planet. Can Everyone’s Needs Be Met?","There’s only one country that comes close to balancing sustainability and quality of life. Also, a study says Tuvalu isn’t shrinking after all.",2018-02-14,Climate,https://www.nytimes.com/2018/02/14/climate/sustainable-good-life.html
Want Cleaner Air? Try Using Less Deodorant,"Consumer products like perfume, pesticides and paint can contribute as much to city air pollution as cars. ",2018-02-16,Climate,https://www.nytimes.com/2018/02/16/climate/perfume-pollution-smog.html
"Coffee Beans Are Good for Birds, Fancy Brew or Not","A study of India’s Western Ghats region found that growing coffee doesn’t interfere with biodiversity, regardless of which bean the farmer chooses.",2018-02-16,Science,https://www.nytimes.com/2018/02/16/science/coffee-birds-biodiversity.html
E.P.A. Chief Pruitt Postpones Trip to Israel Amid Scrutiny of High-Priced Travel,"The trip, which already had been postponed once before, was intended to focus on water issues. The agency declined to give a reason for the delay. ",2018-02-18,Climate,https://www.nytimes.com/2018/02/18/climate/epa-pruitt-israel.html
Can the Games Be Green?,What will Pyeongchang’s environmental legacy be? Also: A Trump adviser who resigned last week says the Paris agreement is worth protecting.,2018-02-21,Climate,https://www.nytimes.com/2018/02/21/climate/olympics-environment.html
New Candidates Emerge for Trump’s Top Environmental Adviser,"A new candidate was needed after the White House withdrew its previous nominee, who had drawn criticism for calling carbon dioxide the “gas of life.”",2018-02-22,Climate,https://www.nytimes.com/2018/02/21/climate/trump-environment-adviser-candidates.html
Senior Republican Calls for E.P.A. Chief’s First-Class Travel Files,"Scott Pruitt’s taxpayer-funded travel at the E.P.A. has drawn criticism, resulting in a Republican committee chairman to issue a demand for documents.",2018-02-22,Climate,https://www.nytimes.com/2018/02/21/climate/gowdy-pruitt-epa-travel.html
Former Trump Aide Calls Paris Climate Accord ‘a Good Republican Agreement’,"In an interview, George David Banks, who stepped down recently, said he also believed Mr. Trump might still be willing to remain in the global climate pact.",2018-02-23,Climate,https://www.nytimes.com/2018/02/22/climate/george-david-banks.html
What Land Will Be Underwater in 20 Years? Figuring It Out Could Be Lucrative ,Detailed information about climate risks is surprisingly hard to find. A Silicon Valley start-up is trying to change that. ,2018-02-23,Climate,https://www.nytimes.com/2018/02/23/climate/mapping-future-climate-risk.html
"After Years of Fighting, Idaho Retains Climate Change in Its Education Guidelines","The legislature had scrubbed human-caused climate change from state teaching standards, but new standards that include the topic will go into effect.",2018-02-23,Climate,https://www.nytimes.com/2018/02/23/climate/idaho-climate-change-education.html
Scientists Fear for Colombia’s ‘Melted Rainbow’,An aquatic plant makes the rivers run red in a remote and diverse ecosystem. Now an oil company has sued for rights to drill in the region.,2018-02-26,Science,https://www.nytimes.com/2018/02/26/science/colombia-cano-cristales.html
King Penguins Are Endangered by Warmer Seas,"A new study projects that slightly more than two-thirds of the species could be threatened, as they swim farther and farther to find food.",2018-02-26,Science,https://www.nytimes.com/2018/02/26/science/king-penguins-antarctica-climate-change.html
Why Build Kenya’s First Coal Plant? Hint: Think China,A project near a world heritage site in Kenya embodies a contradiction of Chinese climate leadership: Cutting coal use at home while promoting it abroad.,2018-02-27,Climate,https://www.nytimes.com/2018/02/27/climate/coal-kenya-china-power.html
You Get Thirsty and Drink. How Does Your Brain Signal You’ve Had Enough?,Researchers have identified a set of neurons in mice that may explain the swift sensation of satisfaction that comes after a drink of water.,2018-02-28,Science,https://www.nytimes.com/2018/02/28/science/thirst-brain-drink.html
Can We Really Scrub Carbon Dioxide From the Atmosphere?,Also this week: Would drone deliveries help or hurt the environment? And will Canada push the United States on climate change?,2018-02-28,Climate,https://www.nytimes.com/2018/02/28/climate/remove-co2-from-air.html
"Parts Suppliers Call for Cleaner Cars, Splitting With Their Main Customers: Automakers",Car-parts makers spoke out against a Trump administration plan to review and potentially weaken tailpipe pollution rules.,2018-03-01,Climate,https://www.nytimes.com/2018/03/01/climate/auto-parts-emissions-regulations.html
"In a Gamble to Make Climate Change a Political Win, a Governor Pursues a Carbon Tax","A statehouse vote was canceled, but Gov. Jay Inslee is making climate a central plank in his political platform, perhaps ahead of a 2020 presidential run.",2018-03-01,Climate,https://www.nytimes.com/2018/03/01/climate/jay-inslee-carbon-tax.html
Europe Was Colder Than the North Pole This Week. How Could That Be?,"Europe is being battered by unusually frigid conditions even as temperatures in the North Pole soar well above normal. Here's the connection, according to experts.",2018-03-02,Climate,https://www.nytimes.com/2018/03/01/climate/polar-vortex-europe-cold.html
"Oil Was Central in Decision to Shrink Bears Ears Monument, Emails Show",Interior Department emails obtained by The New York Times in a lawsuit indicate that oil exploration was the central factor in the decision to scale back the monument.,2018-03-02,Climate,https://www.nytimes.com/2018/03/02/climate/bears-ears-national-monument.html
The World Is Embracing S.U.V.s. That’s Bad News for the Climate.,"For the first time last year, S.U.V.s made up more than one in three cars sold globally as drivers in China, Australia and Europe ditched sedans.",2018-03-03,Climate,https://www.nytimes.com/2018/03/03/climate/suv-sales-global-climate.html
Bans on Plastic Straws in Restaurants Expand to More Cities,"Malibu, Calif., is the latest city to ban plastic straws and cutlery. Activists see the measures as a way to encourage changes in consumers’ behavior.",2018-03-03,Climate,https://www.nytimes.com/2018/03/03/climate/plastic-straw-bans.html
A Supercolony of Penguins Has Been Found Near Antarctica,"Satellite images and a drone discovered about 1.5 million Adélie penguins living in the Danger Islands, one of two species whose habitats require ice.",2018-03-05,Science,https://www.nytimes.com/2018/03/05/science/adelie-penguins-supercolony-antarctica.html
U.N. Chief Picks a Very Rich New Yorker (Not Named Trump) for Climate Job,"António Guterres has appointed Michael R. Bloomberg, the former New York mayor, to be his special envoy for climate action.",2018-03-05,Climate,https://www.nytimes.com/2018/03/05/climate/bloomberg-un-climate.html
College Republicans Propose an Unusual Idea From the Right: A Carbon Tax,"GOP strategists said the budding movement reflected a broader shift on social issues that, if it spread, could split the party along generational lines.",2018-03-06,Climate,https://www.nytimes.com/2018/03/06/climate/college-republicans-carbon-tax.html
"A Secret Superpower, Right in Your Backyard","Small, urban green spaces provide an unexpected benefit in the fight against climate change, a new study shows.",2018-03-06,Climate,https://www.nytimes.com/2018/03/06/climate/yard-garden-global-warming.html
Forests Protect the Climate. A Future With More Storms Would Mean Trouble.,"With an increase in extreme weather expected in the years to come, forests could be changed permanently as the world continues to warm.",2018-03-07,Climate,https://www.nytimes.com/2018/03/07/climate/forests-storms-climate-change.html
Why Not Get Your Own Wind Turbine? Many Reasons,"Also this week: Our reporter catches drones while on assignment, and Ban Ki-moon says America needs to change its tune on climate.",2018-03-07,Climate,https://www.nytimes.com/2018/03/07/climate/personal-wind-turbine.html
The E.P.A. Chief Wanted a Climate Science Debate. Trump’s Chief of Staff Stopped Him.,"The idea for a military-style exercise to question climate science encountered widespread resistance within the administration, officials said.",2018-03-09,Climate,https://www.nytimes.com/2018/03/09/climate/pruitt-red-team-climate-debate-kelly.html
"Hotter, Drier, Hungrier: How Global Warming Punishes the World’s Poorest",A series of droughts with little recovery time in the intervals has pushed millions to the edge of survival in the Horn of Africa.,2018-03-12,Climate,https://www.nytimes.com/2018/03/12/climate/kenya-drought.html
"Near Noisy Oil Fields, Lovesick Birds Change Their Tunes","“Hey, hey, sexy, hey, I’m Bob, a Savannah sparrow.” Birds near oil fields tweak their mating calls in complex ways that researchers are only starting to grasp.",2018-03-13,Climate,https://www.nytimes.com/2018/03/13/climate/oil-field-birds-change-songs.html
"Pompeo, Trump’s Pick for Secretary of State, Is a ‘Great Climate Skeptic’",The choice of Mike Pompeo all but cements hard-line opposition to the idea of climate change at the highest levels of the United States government.,2018-03-13,Climate,https://www.nytimes.com/2018/03/13/climate/pompeo-state-department-climate-change.html
The Biggest Refugee Camp Braces for Rain: ‘This Is Going to Be a Catastrophe’,More than half a million Rohingya refugees face looming disaster from floods and landslides when the first storms of the monsoon season hit their camp in Bangladesh.,2018-03-14,Climate,https://www.nytimes.com/2018/03/14/climate/bangladesh-rohingya-refugee-camp.html
Daylight Saving Time Isn’t Saving Much Energy,And yet we keep pushing the clocks forward. (Also in this week's newsletter: We keep building homes in wildfire-prone areas.),2018-03-14,Climate,https://www.nytimes.com/2018/03/14/climate/daylight-saving-time-electricity.html
Kelp Farms and Mammoth Windmills Are Just Two of the Government’s Long-Shot Energy Bets,Thousands of entrepreneurs gathered near Washington this week for an annual government conference. On the agenda: unusual solutions to major clean-energy problems.,2018-03-16,Climate,https://www.nytimes.com/2018/03/16/climate/arpa-e-summit.html
‘Rewilding’ Missing Carnivores May Help Restore Some Landscapes,The cascade of ecological benefits that followed the return of wolves to Yellowstone National Park and Idaho suggests opportunities for similar efforts around the planet.,2018-03-16,Science,https://www.nytimes.com/2018/03/16/science/rewilding-carnivores-wolves.html
"Scott Pruitt, Trump’s Rule-Cutting E.P.A. Chief, Plots His Political Future",Mr. Pruitt may be using his position as an environmental deregulation czar to position himself to run for office in Oklahoma — or perhaps the presidency.,2018-03-17,Climate,https://www.nytimes.com/2018/03/17/climate/scott-pruitt-political-ambitions.html
Canada’s Outdoor Rinks Are Melting. So Is a Way of Life. ,"Canada loves its ice, and outdoor hockey is part of the nation's cultural identity. So what happens when winters get too warm for backyard rinks? ",2018-03-20,Climate,https://www.nytimes.com/2018/03/20/climate/canada-outdoor-rinks.html
Robotic Fish to Keep a Fishy Eye on the Health of the Oceans,"Researchers introduced SoFi, a soft robotic fish that can be operated underwater with a souped up Super Nintendo controller.",2018-03-21,Science,https://www.nytimes.com/2018/03/21/science/robot-fish.html
"Borrowing G.O.P. Playbook, Democratic States Sue the Government and Rack Up Wins","Democratic attorneys general are suing the Trump administration, just as their Republican counterparts sued the Obama administration. Each side has scored victories.",2018-03-21,Climate,https://www.nytimes.com/2018/03/21/climate/attorneys-general-trump-environment-lawsuits.html
Automakers Shift Gears on Climate Change,"A conversation with the oceanographer Sylvia Earle. Also this week: We ask automakers about climate science, and forecasters look forward to spring.",2018-03-21,Climate,https://www.nytimes.com/2018/03/21/climate/climate-change-sylvia-earle.html
Greenhouse Gas Emissions Rose Last Year. Here Are the Top 5 Reasons.,"The world needs to reduce emissions to avoid drastic global warming. For now, a new study shows, we’re moving in the opposite direction.",2018-03-22,Climate,https://www.nytimes.com/2018/03/22/climate/global-energy-demand.html
"The ‘Great Pacific Garbage Patch’ Is Ballooning, 87,000 Tons of Plastic and Counting","Floating between California and Hawaii, the trash zone is up to 16 times bigger than previously thought, a new study suggests, and is growing ""exponentially.""",2018-03-22,Climate,https://www.nytimes.com/2018/03/22/climate/great-pacific-garbage-patch.html
The E.P.A. Says It Wants Research Transparency. Scientists See an Attack on Science.,"A proposed policy would bar the E.P.A. from considering research that doesn't release its raw data for review, blocking some significant work.",2018-03-26,Climate,https://www.nytimes.com/2018/03/26/climate/epa-scientific-transparency-honest-act.html
Arctic Foxes on a Swedish Mountain Turned ‘Blue.’ It Was a Good Thing.,"The immigration of just three new foxes dramatically reduced inbreeding in an isolated population, providing some support for a disputed conservation strategy.",2018-03-28,Science,https://www.nytimes.com/2018/03/28/science/arctic-foxes-inbreeding.html
"Drones Spy Caribou on a Treacherous, Icy Crossing","Watching the herd from above offered a more complete view of the animals’ varying behaviors, and could suggest insights into other migratory species.",2018-03-28,Science,https://www.nytimes.com/2018/03/28/science/caribou-migration-drones.html
"Three Climate Updates You Might Have Missed (and One We Did, Too)","This week, we’re talking about the surprises hidden in the spending bill; one thing that the president’s new hires have in common; and a court hearing on climate that we didn’t witness.",2018-03-28,Climate,https://www.nytimes.com/2018/03/28/climate/climate-change-spending-bill.html
E.P.A. Prepares to Roll Back Rules Requiring Cars to Be Cleaner and More Efficient,"The Trump administration, handing automakers a victory, is preparing to announce an effort to weaken strict Obama-era pollution standards.",2018-03-29,Climate,https://www.nytimes.com/2018/03/29/climate/epa-cafe-auto-pollution-rollback.html
"Biggest Threat to Humanity? Climate Change, U.N. Chief Says","The stakes are high, the secretary general said, but he suggested that United States plans to quit the Paris Agreement didn’t matter much. ",2018-03-29,Climate,https://www.nytimes.com/2018/03/29/climate/united-nations-climate-change.html
Court Dismisses Exxon’s Effort to Block Climate Investigation,A federal judge in New York called a lawsuit brought by Exxon Mobil against state attorneys general in New York and Massachusetts “implausible.”,2018-03-30,Climate,https://www.nytimes.com/2018/03/29/climate/exxon-climate-change.html
"Faced With Drought, the Pharaohs Tried (and Failed) to Adapt","Ancient Egyptian leaders increased their empire’s grain production and crossbred cattle for resilience in an early effort to ward off climate disaster, a study shows.",2018-03-30,Climate,https://www.nytimes.com/2018/03/30/climate/egypt-climate-drought.html
Automakers Sought Looser Rules but May Get More Than They Bargained For,The Trump administration's likely rollback of emissions and fuel economy rules for cars could trigger a major legal showdown with California.,2018-03-31,Climate,https://www.nytimes.com/2018/03/30/climate/epa-auto-pollution-pruitt.html
"Scott Pruitt, E.P.A. Chief, Rented Residence From Wife of Energy Lobbyist","The environmental agency defended the arrangement, which Democrats criticized after earlier questions about Mr. Pruitt’s travel expenses.",2018-03-31,Climate,https://www.nytimes.com/2018/03/30/climate/scott-pruitt-epa-rental.html
"Calling Car Pollution Standards ‘Too High,’ E.P.A. Sets Up Fight With California","The agency announced a plan to relax Obama-era greenhouse gas rules and signaled that it aimed to make California, which sets its own standards, fall in line.",2018-04-02,Climate,https://www.nytimes.com/2018/04/02/climate/trump-auto-emissions-rules.html
Pruitt Had a $50-a-Day Condo Linked to Lobbyists. Their Client’s Project Got Approved.,The E.P.A. chief was using an apartment partly owned by the wife of the chairman of the lobbying firm as its client sought the agency’s sign off on a pipeline project.,2018-04-02,Climate,https://www.nytimes.com/2018/04/02/climate/epa-pruitt-pipeline-apartment.html
Dr. King Said Segregation Harms Us All. Environmental Research Shows He Was Right.,Both minorities and whites who live in racially divided communities are exposed to higher levels of pollution than those who live in more integrated areas.,2018-04-03,Climate,https://www.nytimes.com/2018/04/03/climate/mlk-segregation-pollution.html
"For Scott Pruitt, a Spotlight Shines on His Ethics, Not His E.P.A. Rollbacks","As the E.P.A. chief announced his most sweeping regulatory rollback to date, he found himself caught up in a swirl of allegations of impropriety.",2018-04-03,Climate,https://www.nytimes.com/2018/04/03/climate/pruitt-epa-apartment-emissions.html
5 Plants and Animals Utterly Confused by Climate Change,"Global warming is causing spring to arrive early and autumn to come late in many places, and not all species are adapting at the same rate.",2018-04-04,Climate,https://www.nytimes.com/2018/04/04/climate/animals-seasons-mismatch.html
A Trip to Morocco. A Condo Rental. Here’s Why Scott Pruitt Is Under Fire.,In this week’s newsletter: tracking the ethics issues surrounding the chief of the Environmental Protection Agency.,2018-04-04,Climate,https://www.nytimes.com/2018/04/04/climate/scott-pruitt-condo-travel.html
Solar Power Is Burning Bright. But It’s Hardly Twilight for Fossil Fuels.,The world added more solar power than any other energy source in 2017. But it's still a tiny fraction of total electricity.,2018-04-05,Climate,https://www.nytimes.com/2018/04/05/climate/solar-energy.html
